"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"2581258_221916",2581258,221916,5817,5817,"2015-09-25","Andreas Oggesen","DK1",0,0,0,0,79
"2718998_266795",2718998,266795,1533,2687,"2017-04-06","Gonzalo Escalante","ES1",0,0,0,0,61
"2478614_3182",2478614,3182,12,12,"2014-09-21","Ashley Cole","IT1",0,0,0,0,90
"2251557_131709",2251557,131709,398,5817,"2013-04-08","Ogenyi Onazi","IT1",0,0,0,0,90
"2594755_61812",2594755,61812,681,621,"2016-03-12","Yuri Berchiche","ES1",1,0,0,0,83
"2594737_131505",2594737,131505,1049,399,"2016-03-02","Rodrigo","ES1",0,0,0,0,25
"3063596_288549",3063596,288549,3426,3426,"2018-08-19","Jeppe Brinch","DK1",1,0,0,1,90
"2475391_7593",2475391,7593,368,897,"2015-02-08","Fernando Navarro","ES1",0,0,0,0,90
"2720985_352898",2720985,352898,1085,2995,"2017-04-02","João Amaral","PO1",0,0,1,1,90
"4066657_70754",4066657,70754,338,55686,"2023-05-20","Denys Garmash","UKR1",0,0,0,0,25
"3210352_131161",3210352,131161,190,265,"2019-10-06","Zeca","DK1",1,0,0,0,90
"3597811_196793",3597811,196793,499,80,"2021-09-12","Maximilian Wittek","NL1",1,0,0,1,90
"2224553_47769",2224553,47769,1177,1177,"2012-09-15","Bjarni Vidarsson","DK1",0,0,1,0,3
"4387783_212229",4387783,212229,7160,7160,"2024-08-11","Halil Akbunar","TR1",0,0,0,0,90
"2656749_56067",2656749,56067,1049,1531,"2016-01-28","Pablo Piatti","CDR",1,0,0,0,63
"3063668_140446",3063668,140446,865,5817,"2018-10-29","Rilwan Hassan","DK1",1,0,0,0,18
"4270616_42205",4270616,42205,46,46,"2024-01-22","Yann Sommer","SCI",0,0,0,0,90
"3433461_126414",3433461,126414,5,46,"2021-03-21","Hakan Çalhanoğlu","IT1",1,0,1,0,90
"4403398_532444",4403398,532444,265,265,"2024-12-01","Fotis Ioannidis","GR1",0,0,0,0,75
"2486724_6150",2486724,6150,762,762,"2015-02-21","Fabricio Coloccini","GB1",0,0,0,0,90
"2604259_142920",2604259,142920,458,1053,"2016-03-13","Aleksandar Trajkovski","IT1",0,0,0,0,1
"2600617_111026",2600617,111026,595,1245,"2015-12-05","Mathieu Peybernes","FR1",0,0,0,0,90
"2229863_33572",2229863,33572,40,40,"2012-08-26","Henrique","FR1",0,0,0,0,90
"2494391_77828",2494391,77828,683,833,"2014-11-09","Mathieu Dossevi","GR1",0,0,0,0,75
"2897358_22141",2897358,22141,1025,5,"2018-03-03","Antonio Mirante","IT1",0,0,0,0,90
"3050303_139208",3050303,139208,31,31,"2018-12-02","Virgil van Dijk","GB1",0,0,0,0,90
"3063777_253210",3063777,253210,5724,678,"2019-03-17","Nicolai Poulsen","DK1",1,0,0,0,90
"2331040_30698",2331040,30698,855,855,"2013-11-09","Jonathan Martins Pereira","FR1",0,0,0,0,45
"2604148_238752",2604148,238752,398,2919,"2016-01-06","Keita Baldé","IT1",0,0,0,0,45
"3614845_177843",3614845,177843,6574,6574,"2022-04-10","Domenico Berardi","IT1",0,0,0,0,71
"2483466_46415",2483466,46415,419,3057,"2014-08-28","Duje Cop","ELQ",0,0,1,0,90
"3234748_52089",3234748,52089,3729,3719,"2019-08-25","Gia Grigalava","RU1",0,0,0,0,90
"2486830_45693",2486830,45693,873,1237,"2015-05-16","Glenn Murray","GB1",0,0,1,0,8
"2428041_47074",2428041,47074,2672,2672,"2014-02-15","Vladan Milosavljev","GR1",1,0,0,0,90
"4096233_748382",4096233,748382,82,276,"2024-04-20","Amin Sarr","L1",0,0,0,0,25
"3851232_690993",3851232,690993,475,475,"2023-03-11","Daichi Hayashi","BE1",0,0,0,0,59
"3621643_95429",3621643,95429,6912,6912,"2022-02-27","Osama Rashid","PO1",0,0,0,0,84
"2871573_20081",2871573,20081,24,24,"2018-01-26","Gelson Fernandes","L1",0,0,0,0,5
"2871547_94201",2871547,94201,82,89,"2017-08-26","Robin Knoche","L1",0,0,0,0,78
"2732178_206740",2732178,206740,968,475,"2016-10-22","Elton Acolatse","BE1",0,0,0,0,74
"3925945_373374",3925945,373374,14589,14589,"2022-10-23","Brian Mansilla","RU1",0,0,0,1,90
"3047476_174196",3047476,174196,667,3911,"2018-09-15","Kenny Lala","FR1",0,0,0,0,90
"3203684_116088",3203684,116088,89,533,"2020-05-27","Marius Bülter","L1",0,0,0,0,65
"3047577_45320",3047577,45320,583,294,"2018-11-02","Ángel Di María","FR1",0,0,0,0,90
"2903725_78961",2903725,78961,370,2553,"2017-09-16","Gary Mackay-Steven","SC1",0,0,0,0,31
"2223917_60583",2223917,60583,417,1082,"2012-11-03","Jérémy Pied","FR1",0,0,0,1,36
"2224740_111376",2224740,111376,58,601,"2012-08-12","Massimo Bruno","BE1",0,0,0,0,5
"3415323_564489",3415323,564489,2727,132,"2020-10-24","Kamal Sowah","BE1",0,0,0,1,90
