"player_id","date","market_value_in_eur","current_club_id","player_club_domestic_competition_id"
823231,"2022-09-19",7000000,989,"GB1"
162427,"2014-01-06",150000,8024,"PO1"
16968,"2019-07-15",200000,167,"L1"
140109,"2014-01-29",300000,862,"IT1"
726019,"2024-12-17",800000,10690,"UKR1"
324351,"2024-09-26",3000000,683,"GR1"
112930,"2019-03-06",4500000,354,"BE1"
572658,"2021-01-11",125000,8970,"IT1"
175593,"2013-10-08",25000,987,"SC1"
186999,"2022-10-01",10000,467,"NL1"
705991,"2022-01-06",2500000,157,"BE1"
125250,"2022-10-31",1500000,1090,"NL1"
220656,"2015-11-27",300000,265,"GR1"
93690,"2015-06-06",4500000,3205,"TR1"
1094,"2008-07-04",5500000,4,"L1"
62170,"2008-12-12",75000,1519,"SC1"
277179,"2023-03-29",14000000,12,"IT1"
240349,"2023-12-20",125000,398,"IT1"
257139,"2019-12-31",75000,979,"PO1"
448470,"2024-06-06",3000000,720,"PO1"
151540,"2014-02-10",200000,1268,"NL1"
163597,"2019-06-20",800000,416,"IT1"
28005,"2013-06-13",7000000,3368,"ES1"
157993,"2012-06-19",150000,2381,"TR1"
780630,"2023-12-19",2000000,1050,"ES1"
85941,"2024-12-16",9000000,281,"GB1"
48907,"2023-08-22",1500000,865,"DK1"
441306,"2021-02-23",750000,968,"BE1"
575716,"2024-12-19",5000000,720,"PO1"
348953,"2023-06-19",250000,683,"GR1"
57789,"2007-10-07",300000,21957,"GR1"
77829,"2020-04-08",400000,2727,"BE1"
63482,"2018-02-03",25000,3,"L1"
396908,"2020-04-08",1300000,141,"TR1"
74294,"2021-06-10",6000000,368,"ES1"
207519,"2016-07-29",500000,2503,"PO1"
346290,"2023-10-02",500000,2861,"BE1"
391005,"2018-06-02",200000,82,"L1"
177860,"2019-06-10",400000,1241,"SC1"
227352,"2022-06-01",200000,443,"DK1"
64598,"2018-05-30",7000000,12321,"ES1"
54231,"2019-12-20",600000,2448,"ES1"
129476,"2021-12-28",10000000,410,"IT1"
260829,"2017-12-18",350000,172,"BE1"
415701,"2023-06-12",125000,347,"FR1"
58933,"2022-09-30",225000,339,"UKR1"
385416,"2019-06-16",175000,49364,"UKR1"
234237,"2021-06-03",500000,553,"GR1"
536030,"2021-08-16",900000,3302,"ES1"
44281,"2017-12-21",300000,8970,"IT1"
20778,"2017-06-27",450000,38,"L1"
82597,"2015-06-11",300000,41201,"RU1"
33447,"2009-12-13",900000,826,"FR1"
335721,"2020-02-27",7000000,11,"GB1"
135917,"2016-12-12",200000,3426,"DK1"
128229,"2019-06-13",8000000,1132,"GB1"
174196,"2024-12-10",2500000,3911,"FR1"
55978,"2020-01-15",250000,2079,"GR1"
36559,"2015-08-16",225000,202,"NL1"
43975,"2010-08-01",600000,1423,"FR1"
82105,"2021-12-23",18000000,31,"GB1"
18870,"2006-03-25",800000,1091,"GR1"
34412,"2019-06-09",250000,820,"TR1"
3878,"2007-07-09",17500000,985,"GB1"
48510,"2016-01-17",1000000,3691,"RU1"
59783,"2023-07-20",350000,1467,"TR1"
712086,"2024-10-02",600000,354,"BE1"
357628,"2019-02-19",200000,940,"ES1"
68976,"2011-06-03",200000,5817,"DK1"
328658,"2019-01-03",2000000,1148,"GB1"
37906,"2011-08-22",1500000,367,"ES1"
618502,"2022-02-01",10000,6195,"IT1"
222805,"2017-06-29",600000,232,"RU1"
257668,"2021-12-29",20000000,964,"RU1"
74842,"2019-06-05",25000000,24,"L1"
693906,"2021-06-07",700000,41274,"BE1"
1013774,"2023-12-22",1000000,3302,"ES1"
26633,"2013-01-28",5000000,1071,"GB1"
74960,"2024-05-27",1000000,762,"GB1"
61863,"2015-02-24",500000,1627,"IT1"
362086,"2024-06-07",8000000,367,"ES1"
5578,"2012-02-02",2500000,1421,"FR1"
463620,"2022-05-30",4000000,995,"FR1"
332179,"2022-11-11",14000000,2919,"IT1"
272706,"2021-02-08",800000,723,"NL1"
260197,"2019-09-05",650000,7378,"PO1"
12515,"2012-02-07",1750000,347,"FR1"
