"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
405692,"2020-08-24","20/21",851,1435,"FSV Mainz 05 II","Go Ahead Eagles",0,250000,"Erkan Eyibil"
14044,"2005-11-06","05/06",2805,466,"Wycombe","Preston",0,4e+05,"Andy Lonergan"
404418,"2021-06-30","20/21",197,430,"Sparta Prague","Fiorentina",0,2700000,"Dávid Hancko"
298976,"2017-06-30","16/17",82,418,"VfL Wolfsburg","Real Madrid",0,2500000,"Borja Mayoral"
196158,"2019-01-28","18/19",467,404,"NEC Nijmegen","FC Den Bosch",0,4e+05,"Brahim Darri"
167342,"2024-06-30","23/24",434,1158,"FC Luzern","FC Lorient",0,1200000,"Adrian Grbic"
314965,"2022-07-01","22/23",294,2919,"Benfica","Monza",2870000,2300000,"Pedro Pereira"
72047,"2013-07-01","13/14",940,31,"Celta de Vigo","Liverpool",10800000,9e+06,"Iago Aspas"
340853,"2020-07-01","20/21",418,366,"Real Madrid","Real Valladolid",3e+06,1200000,"Javi Sánchez"
284595,"2019-07-09","19/20",3522,1038,"Spezia Calcio","Sampdoria",0,1e+06,"Tommaso Augello"
497175,"2020-06-30","19/20",10868,2969,"US Orléans","Dijon",0,725000,"Aurélien Scheidler"
166581,"2023-07-14","23/24",48332,60551,"Kolos Kovalivka","SC Dnipro-1",4e+05,7e+05,"Yevgen Volynets"
342609,"2022-01-19","21/22",28178,10480,"Akzhayik","Shakhter K.",0,5e+05,"Mykola Kovtalyuk"
649261,"2021-01-28","20/21",11750,5084,"Rubin Kazan II","Valmiera",0,150000,"Viktor Aleksandrov"
294814,"2023-03-31","22/23",157,10157,"KAA Gent","Aktobe",0,6e+05,"Anderson Niangbo"
236510,"2015-04-30","14/15",1071,6922,"Wigan","Liverpool U18",0,5e+05,"Sheyi Ojo"
99352,"2020-01-31","19/20",681,40,"Real Sociedad","G. Bordeaux",0,3e+06,"Rubén Pardo"
334557,"2022-06-30","21/22",11688,294,"Giresunspor","Benfica",0,4500000,"Chiquinho"
64399,"2018-07-01","18/19",3709,873,"Getafe","Crystal Palace",0,5e+06,"Vicente Guaita"
539134,"2023-07-10","23/24",5,749,"AC Milan","FC Empoli",0,3e+06,"Daniel Maldini"
623319,"2023-06-30","22/23",3508,660,"Zulte Waregem","Shakhtar D.",0,6e+05,"Oleksandr Drambayev"
156941,"2017-07-25","17/18",988,350,"Oxford United","Sheff Utd",560000,5e+05,"John Lundstram"
337725,"2025-06-30","24/25",749,430,"FC Empoli","Fiorentina",0,7500000,"Christian Kouamé"
334425,"2021-06-30","20/21",55013,2741,"Legion-Dinamo","Baltika",0,150000,"Mutalip Alibekov"
335209,"2016-07-06","16/17",499,430,"Vitesse","Fiorentina",2900000,1500000,"Kevin Diks"
520517,"2023-02-03","22/23",2714,61825,"Zimbru Chisinau","FK Minaj",0,2e+05,"Mihail Ghecev"
70114,"2018-01-01","17/18",40426,964,"Tosno","Zenit S-Pb",1500000,1500000,"Anton Zabolotnyi"
251896,"2016-07-12","16/17",418,24,"Real Madrid","E. Frankfurt",0,3e+06,"Jesús Vallejo"
488362,"2024-08-21","24/25",631,13,"Chelsea","Atlético Madrid",4.2e+07,5e+07,"Conor Gallagher"
50655,"2009-06-30","08/09",2832,11502,"Gaziantep BB","Galatasaray U21",0,4e+05,"Efecan Karaca"
517894,"2023-06-30","22/23",543,13,"Wolves","Atlético Madrid",0,2.5e+07,"Matheus Cunha"
444641,"2024-01-15","23/24",1088,543,"Rochdale","Wolves",0,2e+05,"Louie Moulden"
166086,"2012-08-31","12/13",18464,4633,"Sloboda T U19","Novi Pazar",0,125000,"Amar Rahmanovic"
286779,"2017-07-20","17/18",2448,3,"Sporting Gijón","1.FC Köln",7e+06,6e+06,"Jorge Meré"
77825,"2020-09-01","20/21",800,2722,"Atalanta BC","SPAL",3500000,2400000,"Etrit Berisha"
157125,"2020-07-01","20/21",2727,3057,"OH Leuven","Standard Liège",0,4e+05,"Laurent Henkinet"
81349,"2022-07-01","22/23",223,41278,"HNK Sibenik","FC Arges",0,250000,"Antonio Jakolis"
506189,"2018-05-31","17/18",1031,677,"Luton","Ipswich",0,1e+05,"Flynn Downes"
542525,"2020-08-01","20/21",1842,1063,"FC Roskilde","Viborg FF",0,2e+05,"Younes Bakiz"
556046,"2022-12-31","22/23",4673,12574,"Arsenal Sarandí","Godoy Cruz",0,2500000,"Sebastián Lomónaco"
400542,"2023-06-30","22/23",5776,865,"FC Fredericia","FC Midtjylland",0,250000,"Oliver Olsen"
245048,"2017-01-24","16/17",2477,11000,"Karpaty Lviv","CD Lugo",0,5e+05,"Vasyl Kravets"
396536,"2022-09-01","22/23",338,10690,"Dynamo Kyiv","Zorya Lugansk",3e+05,4e+05,"Roman Vantukh"
